pool;campagne;comp_site;site;saison;poid total chair  [mg];poids total coquille [mg];longeur moy [cm];largeur moy [cm];epaisseur moy [cm];poid chair [mg];poid coquille  [mg];met_chaire;Ag;Al;As;Ba;Be;Ca;Cd;Co;Cr;Cu;Fe;Hg;K;Mg;Mn;Mo;Na;Ni;P;Pb;S;Sb;Se;Si;Sn;Sr;Ti;V;Zn;tot;commentaire
VD_A_Met_1;1;VD_A;VD;Automne;3393.6;5970.3;3.09;1.76;1.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
VD_A_Met_2;1;VD_A;VD;Automne;2910.7;4654.8;3.08;1.65;1.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
VD_A_Met_3;1;VD_A;VD;Automne;3448.1;5756.3;3.41;1.88;1.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
VD_A_Met_4;1;VD_A;VD;Automne;2933.4;5190.1;2.53;1.43;0.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
VD_A_Met_5;1;VD_A;VD;Automne;3265.6;4330.2;2.38;1.42;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
VD_A_Met_6;1;VD_A;VD;Automne;2977.5;4027.9;2.41;1.38;0.93;376.4;326.8;11;0.184;1236.786;11.961;28.404;0.045;18629.41;1.273;2.75;3.475;17.724;3231.976;0.156;3113.379;1260.406;238.053;0.532;1957.282;6.884;10515.029;3.418;7132.182;0;4.767;970.886;0.388;50.276;44.305;3.075;78.009;48543.015;OK
VD_A_Met_7;1;VD_A;VD;Automne;3259.2;4400;2.45;1.42;0.97;403.4;401.4;12;0.13;1493.855;10.425;28.672;0.022;11068.027;1.037;2.354;2.902;14.865;3649.557;0.18;2723.256;1366.317;378.097;0.491;1759.256;7.364;11173.368;2.67;7515.487;0;4.024;854.883;0.234;45.265;36.922;2.397;77.161;42219.218;OK
VD_A_Met_8;1;VD_A;VD;Automne;3222.8;4492;2.38;1.35;1;384.2;361.1;13;0.138;1325.695;10.646;23.277;0.025;11833.417;0.977;1.785;2.661;-0.002;3155.349;0.157;2586.054;1317.847;346.866;0.475;1663.21;6.987;11322.889;2.65;7485.03;0.429;3.863;823.706;0.308;51.22;33.814;2.337;69.54;42071.35;OK
VD_A_Met_9;1;VD_A;VD;Automne;3278.3;4216.6;2.43;1.38;0.97;364.1;337.9;14;0.157;1298.284;9.971;20.688;0.027;13556.549;1.024;1.577;2.39;-0.002;3302.082;0.135;2332.274;1297.135;224.571;0.415;1560.154;5.413;11530.937;2.012;7692.879;0.24;3.802;811.508;0.214;54.835;28.725;1.995;64.961;43804.952;OK
VD_A_Met_10;1;VD_A;VD;Automne;3075.7;3949.4;2.42;1.39;0.91;327.2;384.3;15;0.253;1139.028;14.001;39.777;0.035;14538.365;1.11;3.922;4.126;-0.002;3168.79;0.218;3090.026;1244.415;172.106;0.513;2071.531;8.46;10564.817;4.134;7642.357;0.365;4.556;733.053;0.521;57.836;51.235;3.503;82.476;44641.527;OK
