pool;campagne;comp_site;site;saison;poid total chair  [mg];poids total coquille [mg];longeur moy [cm];largeur moy [cm];epaisseur moy [cm];poid chair [mg];poid coquille  [mg];met_coquille ;Ag;Al;As;Ba;Be;Ca;Cd;Co;Cr;Cu;Fe;Hg;K;Mg;Mn;Mo;Na;Ni;P;Pb;S;Sb;Se;Si;Sn;Sr;Ti;V;Zn;tot;commentaire
VD_A_Met_1;1;VD_A;VD;Automne;3393.6;5970.3;3.09;1.76;1.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
VD_A_Met_2;1;VD_A;VD;Automne;2910.7;4654.8;3.08;1.65;1.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
VD_A_Met_3;1;VD_A;VD;Automne;3448.1;5756.3;3.41;1.88;1.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
VD_A_Met_4;1;VD_A;VD;Automne;2933.4;5190.1;2.53;1.43;0.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
VD_A_Met_5;1;VD_A;VD;Automne;3265.6;4330.2;2.38;1.42;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas lyophilisé (backup)
VD_A_Met_6;1;VD_A;VD;Automne;2977.5;4027.9;2.41;1.38;0.93;376.4;326.8;31;0;311.252;2.241;73.111;0.015;332251.816;0.029;0.415;0.86;0.946;1232.356;0.18;379.423;126.991;81.761;0.204;2937.739;1.022;362.728;0.62;535.11;0.352;0.073;365.918;0.138;1177.496;11.143;0.778;4.888;339859.605;OK
VD_A_Met_7;1;VD_A;VD;Automne;3259.2;4400;2.45;1.42;0.97;403.4;401.4;32;0;324.025;1.664;55.41;0.005;321961.526;0.024;0.371;0.646;0.471;791.239;0.163;271.26;120.936;86.709;0.088;2235.106;0.712;251.519;0.718;350.785;0;0.039;271.271;0.17;942.553;7.151;0.551;3.812;327678.924;OK
VD_A_Met_8;1;VD_A;VD;Automne;3222.8;4492;2.38;1.35;1;384.2;361.1;33;0.025;467.567;2.649;67.325;0.012;323461.242;0.026;0.504;0.762;2.155;1034.27;0.235;321.26;144.048;73.838;0.095;2611.261;1.03;287.184;0.741;567.304;0;0.692;287.78;0.038;1089.33;9.565;0.717;4.404;330436.059;OK
VD_A_Met_9;1;VD_A;VD;Automne;3278.3;4216.6;2.43;1.38;0.97;364.1;337.9;34;0.103;443.461;4.626;78.775;0.023;335919.345;0.036;0.902;1.05;-0.001;1050.166;0.052;420.373;137.581;94.319;0.08;2590.261;1.513;277.137;1.235;382.065;0.232;-0.004;397.13;0.281;1161.837;13.503;1.12;8.699;342985.9;OK
VD_A_Met_10;1;VD_A;VD;Automne;3075.7;3949.4;2.42;1.39;0.91;327.2;384.3;35;0.076;403.92;1.337;53.085;0.012;318198.766;0.035;0.35;0.464;1.857;1476.576;0.336;214.054;131.201;105.062;0.061;2244.801;0.729;467.678;0.465;392.203;0.167;-0.004;244.928;0.185;907.942;6.302;0.4;3.779;324856.767;OK
