individu;campagne;comp_site;site;saison;longeur [cm];largeur [cm];epaisseur [cm];poid totale [mg];poids total sans eaux [mg];poids tissus [mg];poids coquille [mg];MTs [ug/g];commentaire
VD_A_MTs_1;1;VD_A;VD;Automne;2.3;1.3;1.08;1197;890.8;449.6;441.2;3.145;OK
VD_A_MTs_2;1;VD_A;VD;Automne;1.57;1.07;0.66;647.2;309.6;154;155.6;8.362;OK
VD_A_MTs_3;1;VD_A;VD;Automne;2.05;1.22;0.88;939;619.8;272.9;346.9;5.838;OK
VD_A_MTs_4;1;VD_A;VD;Automne;2.31;1.58;1.07;1668;875.9;408.7;467.2;2.84;OK
VD_A_MTs_5;1;VD_A;VD;Automne;2.28;1.3;0.86;1149.8;723.8;301.4;422.4;4.007;OK
VD_A_MTs_6;1;VD_A;VD;Automne;2.3;1.32;0.99;1368.7;821.9;317.4;504.5;4.785;OK
VD_A_MTs_7;1;VD_A;VD;Automne;2.37;1.38;0.97;1377.4;789.4;357.3;432.1;3.513;OK
VD_A_MTs_8;1;VD_A;VD;Automne;2.5;1.45;0.89;1253.5;832.6;390.6;442;3.798;OK
VD_A_MTs_9;1;VD_A;VD;Automne;2.24;1.31;0.81;953.2;647.9;301.6;346.3;4.569;OK
VD_A_MTs_10;1;VD_A;VD;Automne;1.79;1.17;0.8;699.5;468.1;232.9;235.2;6.6;OK
VD_A_MTs_11;1;VD_A;VD;Automne;1.81;1.16;0.7;677.1;459.4;228.2;231.2;4.313;OK
VD_A_MTs_12;1;VD_A;VD;Automne;2.09;1.36;0.8;956.5;643.9;308.2;335.7;2.76;OK
VD_A_MTs_13;1;VD_A;VD;Automne;2.06;1.27;0.7;792.7;516.4;251.3;265.1;4.592;OK
VD_A_MTs_14;1;VD_A;VD;Automne;1.8;1.18;0.76;762.3;488.1;197.1;291;5.786;OK
VD_A_MTs_15;1;VD_A;VD;Automne;2.1;1.23;0.84;954.3;621.8;282.3;339.5;3.291;OK
VD_A_MTs_16;1;VD_A;VD;Automne;1.76;0.85;0.97;847.1;554.3;149.7;404.6;;OK
VD_A_MTs_17;1;VD_A;VD;Automne;1.85;1.18;0.81;761.5;507.3;205.6;301.7;4.147;OK
VD_A_MTs_18;1;VD_A;VD;Automne;2.08;1.21;0.75;857.5;610.5;266.5;344;4.077;OK
VD_A_MTs_19;1;VD_A;VD;Automne;2.08;1.11;0.72;765;498.5;239;259.5;4.857;OK
VD_A_MTs_20;1;VD_A;VD;Automne;1.94;1.09;0.72;710.7;420.2;196.5;223.7;4.725;OK
SP_A_MTs_1;2;SP_A;SP;Automne;2.6;1.34;0.97;1588.5;806.1;341.3;464.8;2.058;OK
SP_A_MTs_2;2;SP_A;SP;Automne;2.8;1.5;0.91;1682;892.4;408.4;484;;Erreur de manipulation
SP_A_MTs_3;2;SP_A;SP;Automne;2.5;1.4;0.85;1310.1;704.3;296;408.3;1.694;OK
