site;Cd;Cr;Cu;Fe;Hg;Ni;Zn;Pb;Mn
1;0;18.35;0;5858.01;0.03;15.77;31.2;0;182.53
2;0;28.66;17.39;5618.29;0.05;15.19;31.9;0;269.76
3;0;21.65;7.99;6703.53;0.03;18.46;33.4;0;258.89
4;0;19.82;6.54;6628.82;0.03;18.06;34.1;0;207.93
16;1.06;72.92;89.38;25530.49;0.4;52.54;189.6;43.58;387.48
20;0.93;54.5;66.9;19176.48;0.29;44.13;143.3;46.24;336.27
21;0.84;53.07;46.7;16507.8;0.2;52.08;151.5;37.07;358.21
22;0.95;61.51;55.56;23781.82;0.19;61.71;98.9;28.77;470.42
24;1.09;74.17;91.39;26100.53;0.3;64.71;190.4;39.98;415.68
27;1.19;74.51;157.95;27228.74;1.07;46.77;336.9;82.4;291.22
28;0.76;47.62;69.02;20816.75;0.19;42.92;118.2;27.15;371.34
40;1.49;82.66;106.06;27855.01;0.37;68.02;226.7;52.96;425.5
46;1.56;62.8;107.66;23615.66;0.66;46.8;251.4;67.26;350.78
47;1.44;69.84;122.33;25412.34;0.65;53.16;261.2;72.46;334.77
48;1.17;72.62;67.3;21500.62;0.7;68.38;141.8;51.36;510.98
49;1.83;70.29;160.92;27702.17;1.01;51.17;309.4;77.75;315.72
50;2.01;73.44;106.29;24500.81;0.97;44.67;308;87.31;290.76
52;1.95;75.91;158.66;33954.65;1.04;49.22;335;59.31;326.36
Cipel (38);0.34;44;39;0;0.05;47;92;18;0
